Date updated:;05. Jan 22;;;;;;;;
Created by:;Aswath Damodaran, adamodar@stern.nyu.edu;;;;;;;;
What is this data?;Price Earnings multiples;;;;US companies;;;;
Home Page:;http://www.damodaran.com;;;;;;;;
Data website:;https://www.stern.nyu.edu/~adamodar/New_Home_Page/data.html;;;;;;;;
Companies in each industry:;https://www.stern.nyu.edu/~adamodar/pc/datasets/indname.xls;;;;;;;;
Variable definitions:;https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm;;;;;;;;
Industry Name;Number of firms;Current PE;Trailing PE;Forward PE;Aggregate Mkt Cap/ Net Income (all firms);Aggregate Mkt Cap/ Trailing Net Income (only money making firms);Expected growth in EPS - next 5 years;PEG Ratio;
Advertising;49;54,99;88,10;78,62;NA;16,10;17,82%;0,90;
Aerospace/Defense;73;35,90;37,01;27,37;8187,51;22,40;10,25%;2,18;
Air Transport;21;7,47;3708,23;26,36;NA;99,75;45,60%;2,19;
Apparel;39;28,61;36,12;17,49;NA;18,54;26,84%;0,69;
Auto & Truck;26;996,16;55,50;28,28;311,58;65,13;4,67%;13,94;
Auto Parts;38;397,01;30,43;17,35;NA;18,61;45,48%;0,41;
Bank (Money Center);7;21,40;9,00;12,32;18,49;9,42;13,92%;0,68;
Banks (Regional);563;37,18;28,84;13,43;20,24;12,71;13,10%;0,97;
Beverage (Alcoholic);21;38,92;54,54;26,80;46,16;52,48;8,11%;6,47;
Beverage (Soft);32;106,96;111,14;52,13;34,99;29,93;11,40%;2,63;
Broadcasting;28;7,05;8,83;24,99;24,44;8,19;164,52%;0,05;
Brokerage & Investment Banking;31;108,53;12,62;12,82;19,31;10,94;24,03%;0,46;
Building Materials;44;34,82;28,10;21,77;39,71;21,32;17,90%;1,19;
Business & Consumer Services;160;316,73;269,88;73,34;70,00;29,06;21,25%;1,37;
Cable TV;11;64,42;27,33;20,79;28,31;18,06;18,28%;0,99;
Chemical (Basic);35;34,82;14,70;9,09;34,04;7,35;37,89%;0,19;
Chemical (Diversified);4;16,16;11,75;11,59;11,85;11,03;42,10%;0,26;
Chemical (Specialty);81;61,46;34,00;22,19;74,91;22,99;13,24%;1,74;
Coal & Related Energy;18;13,31;19,43;12,53;NA;16,15;NA;NA;
Computer Services;83;50,64;38,50;32,46;37,08;26,39;16,15%;1,63;
Computers/Peripherals;46;54,17;14,97;29,30;28,65;26,70;13,69%;1,95;
Construction Supplies;48;29,10;724,66;20,55;34,62;21,43;29,65%;0,72;
Diversified;22;32,54;103,88;35,99;18,31;9,96;8,39%;1,19;
