Date updated:;05. Jan 23;;;;;;;;
Created by:;Aswath Damodaran, adamodar@stern.nyu.edu;;;;;;;;
What is this data?;Price Earnings multiples;;;;US companies;;;;
Home Page:;http://www.damodaran.com;;;;;;;;
Data website:;https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html;;;;;;;;
Companies in each industry:;https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls;;;;;;;;
Variable definitions:;https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm;;;;;;;;
Industry Name;Number of firms;% of Money Losing firms (Trailing);Current PE;Trailing PE;Forward PE;Aggregate Mkt Cap/ Net Income (all firms);Aggregate Mkt Cap/ Trailing Net Income (only money making firms);Expected growth - next 5 years;PEG Ratio
Advertising;58;75,86%;1311,13;13,99;21,55;33,36;12,43;0,80%;15,63
Aerospace/Defense;77;53,25%;39,29;53,69;64,40;36,87;24,34;8,14%;2,99
Air Transport;21;61,90%;25,14;71,79;14,01;NA;41,71;22,53%;1,85
Apparel;39;56,41%;9,47;13,80;10,50;10,67;11,95;5,64%;2,12
Auto & Truck;31;80,65%;14,07;10,30;10,18;20,43;15,49;17,37%;0,89
Auto Parts;37;51,35%;36,09;31,63;13,53;25,16;14,88;22,15%;0,67
Bank (Money Center);7;14,29%;7,12;9,52;8,96;7,37;9,46;1,99%;4,76
Banks (Regional);557;8,44%;25,81;24,60;9,48;10,37;10,53;11,15%;0,94
Beverage (Alcoholic);23;73,91%;61,65;111,50;22,11;49,38;55,46;46,60%;1,19
Beverage (Soft);31;70,97%;211,71;39,55;40,90;30,76;27,66;12,11%;2,28
Broadcasting;26;42,31%;7,59;6,93;13,00;6,28;4,70;25,35%;0,19
Brokerage & Investment Banking;30;26,67%;16,44;15,40;12,58;10,85;12,71;19,23%;0,66
Building Materials;45;28,89%;28,50;15,73;14,04;16,23;9,87;10,97%;0,90
Business & Consumer Services;164;54,27%;48,37;33,72;21,37;34,67;22,63;16,90%;1,34
Cable TV;10;10,00%;10,71;11,03;11,08;10,23;15,01;13,91%;1,08
Chemical (Basic);38;55,26%;9,67;9,95;12,59;6,01;6,33;-10,22%;NA
Chemical (Diversified);4;25,00%;12,22;4,91;9,18;6,47;4,84;13,50%;0,36
Chemical (Specialty);76;51,32%;180,83;34,73;16,20;21,91;16,86;14,02%;1,20
Coal & Related Energy;19;68,42%;142,89;70,10;17,78;28,02;3,77;NA;NA
Computer Services;80;62,50%;16,34;16,83;15,72;25,10;25,60;13,08%;1,96
Computers/Peripherals;42;57,14%;13,24;60,37;43,27;19,58;20,03;12,86%;1,56
Construction Supplies;49;44,90%;59,58;23,67;17,35;23,60;17,55;17,86%;0,98
Diversified;23;82,61%;18,97;14,46;38,37;10,73;16,90;14,04%;1,20
Drugs (Biotechnology);598;92,81%;81,44;113,80;34,86;152,24;17,15;-4,84%;NA
