Date updated:;05. Jan 21;;;;;;;;
Created by:;Aswath Damodaran, adamodar@stern.nyu.edu;;;;;;;;
What is this data?;Price Earnings multiples;;;;US companies;;;;
Home Page:;http://www.damodaran.com;;;;;;;;
Data website:;https://www.stern.nyu.edu/~adamodar/New_Home_Page/data.html;;;;;;;;
Companies in each industry:;https://www.stern.nyu.edu/~adamodar/pc/datasets/indname.xls;;;;;;;;
Variable definitions:;https://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm;;;;;;;;
Industry Name;Number of firms;Current PE;Trailing PE;Forward PE;Aggregate Mkt Cap/ Net Income (all firms);Aggregate Mkt Cap/ Trailing Net Income (only money making firms);Expected growth - next 5 years;PEG Ratio;
Advertising;61;20,95;45,38;38,92;31,55;15,79;83,44%;0,19;
Aerospace/Defense;72;291,56;107,38;122,37;26,17;20,51;5,78%;3,55;
Air Transport;17;8,14;13,47;27,42;6,73;16,37;-14,27%;NA;
Apparel;51;22,38;22,76;83,02;38,15;22,15;13,60%;1,63;
Auto & Truck;19;164,37;261,56;37,20;123,19;166,76;18,80%;8,87;
Auto Parts;52;27,43;55,56;27,21;52,20;36,25;12,42%;2,92;
Bank (Money Center);7;8,46;14,86;13,26;8,87;14,94;5,27%;2,83;
Banks (Regional);598;13,50;15,39;12,87;11,92;13,31;5,74%;2,32;
Beverage (Alcoholic);23;45,64;32,39;28,24;86,40;36,18;17,53%;2,06;
Beverage (Soft);41;201,34;116,72;72,19;29,43;30,03;10,24%;2,93;
Broadcasting;29;15,10;12,42;25,73;4,22;12,43;12,93%;0,96;
Brokerage & Investment Banking;39;21,14;82,20;14,34;15,29;16,04;8,88%;1,81;
Building Materials;42;28,19;25,63;21,86;25,59;21,80;15,28%;1,43;
Business & Consumer Services;169;38,25;44,22;86,14;75,69;40,32;12,28%;3,28;
Cable TV;13;68,46;63,68;26,05;27,64;30,56;29,41%;1,04;
Chemical (Basic);48;13,80;45,86;19,32;36,21;17,33;9,70%;1,79;
Chemical (Diversified);5;13,89;17,19;12,78;19,46;13,05;5,55%;2,35;
Chemical (Specialty);97;36,06;58,86;25,11;46,96;31,16;9,18%;3,40;
Coal & Related Energy;29;2,85;37,68;13,24;29,84;28,30;-20,90%;NA;
Computer Services;116;45,38;27,86;35,80;34,06;18,59;9,98%;1,86;
Computers/Peripherals;52;40,61;27,25;30,14;36,51;36,53;12,30%;2,97;
Construction Supplies;46;84,99;108,40;24,50;19,29;25,42;11,21%;2,27;
Diversified;29;26,18;27,98;31,50;10,78;17,85;9,58%;1,86;
